Date,Affected pages
2025-09-01,10
2025-09-02,10
2025-09-03,10
2025-09-04,10
2025-09-05,10
2025-09-06,10
2025-09-07,10
2025-09-08,10
2025-09-09,10
2025-09-10,10
2025-09-11,10
2025-09-12,10
2025-09-13,10
2025-09-14,10
2025-09-15,10
2025-09-16,10
2025-09-17,10
2025-09-18,10
2025-09-19,10
2025-09-20,10
2025-09-21,10
2025-09-22,10
2025-09-23,11
2025-09-24,11
2025-09-25,11
2025-09-26,11
2025-09-27,11
2025-09-28,11
2025-09-29,11
2025-09-30,31
2025-10-01,31
2025-10-02,31
2025-10-03,31
2025-10-04,78
2025-10-05,78
2025-10-06,78
2025-10-07,80
2025-10-08,80
2025-10-09,80
2025-10-10,80
2025-10-11,79
2025-10-12,79
2025-10-13,79
2025-10-14,71
2025-10-15,71
2025-10-16,71
2025-10-17,71
2025-10-18,66
2025-10-19,66
2025-10-20,66
2025-10-21,62
2025-10-22,62
2025-10-23,62
2025-10-24,62
2025-10-25,66
2025-10-26,66
2025-10-27,66
2025-10-28,71
2025-10-29,71
2025-10-30,71
2025-10-31,71
2025-11-01,67
2025-11-02,67
2025-11-03,67
2025-11-04,67
2025-11-05,67
2025-11-06,67
2025-11-07,67
2025-11-08,71
2025-11-09,71
2025-11-10,71
2025-11-11,70
2025-11-12,70
2025-11-13,70
2025-11-14,70
2025-11-15,71
2025-11-16,71
2025-11-17,71
