No,Position,Keyword,Change,SD,Search Volume,URL,Location
1,1,"disco cruise austin",0,28,20,"https://premierpartycruises.com/bachelorette-party-austin","English / United States"
2,1,"premier party cruise",0,25,480,"https://premierpartycruises.com/","English / United States"
3,2,"disco boat cruise",0,42,110,"https://premierpartycruises.com/bachelorette-party-austin","English / United States"
4,2,"party boat in austin",1,25,720,"https://premierpartycruises.com/","English / United States"
5,2,"party cruise austin",0,35,20,"https://premierpartycruises.com/","English / United States"
6,2,"party boat austin texas",1,44,1300,"https://premierpartycruises.com/","English / United States"
7,2,"party boat austin",1,42,1300,"https://premierpartycruises.com/","English / United States"
8,2,"party boat austin tx",1,24,1300,"https://premierpartycruises.com/","English / United States"
9,2,"austin party cruise",0,35,590,"https://premierpartycruises.com/","English / United States"
10,2,"austin party boat",1,31,1300,"https://premierpartycruises.com/","English / United States"
11,2,"party boat in austin tx",1,38,590,"https://premierpartycruises.com/","English / United States"
12,2,"lake travis bachelorette party boat",0,32,110,"https://premierpartycruises.com/bachelorette-party-austin","English / United States"
13,2,"lake travis bachelorette party boat",-1,11,20,"https://premierpartycruises.com/bachelorette-party-austin","English / Austin,Texas,United States"
14,3,"party boats austin texas",0,26,1000,"https://premierpartycruises.com/","English / United States"
15,3,"austin boat party",1,51,720,"https://premierpartycruises.com/","English / United States"
16,3,"party boats in austin",0,45,590,"https://premierpartycruises.com/","English / United States"
17,3,"cruise bachelorette party",1,31,10,"https://premierpartycruises.com/bachelorette-party-austin","English / Austin,Texas,United States"
18,3,"austin texas boat party",1,52,720,"https://premierpartycruises.com/","English / United States"
19,3,"party boats austin tx",1,46,1300,"https://premierpartycruises.com/","English / United States"
20,3,"austin party boats",0,25,1000,"https://premierpartycruises.com/","English / United States"
21,3,"lake travis boat rental bachelorette party",0,29,30,"https://premierpartycruises.com/bachelorette-party-austin","English / United States"
22,3,"atx party boat",4,48,720,"https://premierpartycruises.com/","English / United States"
23,3,"party boats austin",2,47,1300,"https://premierpartycruises.com/","English / United States"
24,4,"boat party austin",0,53,720,"https://premierpartycruises.com/","English / United States"
25,4,"lake travis bachelor party boat",4,25,110,"https://premierpartycruises.com/","English / United States"
26,4,"lake travis bachelor party boat",4,11,20,"https://premierpartycruises.com/","English / Austin,Texas,United States"
27,4,"cruise for bachelorette party",1,23,10,"https://premierpartycruises.com/bachelorette-party-austin","English / Austin,Texas,United States"
28,4,"rent a party boat austin",8,40,880,"https://premierpartycruises.com/","English / United States"
29,4,"lake travis party boat",13,33,590,"https://premierpartycruises.com/party-boat-lake-travis","English / United States"
30,6,"party boat texas",6,30,70,"https://premierpartycruises.com/","English / United States"
31,6,"party boat lake travis austin",1,29,590,"https://premierpartycruises.com/","English / United States"
